RecordedAtTime,DirectionRef,PublishedLineName,OriginName,OriginLat,OriginLong,DestinationName,DestinationLat,DestinationLong,VehicleRef,VehicleLocation.Latitude,VehicleLocation.Longitude,NextStopPointName,ArrivalProximityText,DistanceFromStop,ExpectedArrivalTime,ScheduledArrivalTime,time_delta,time_delta_mins,time_diff,time_diff_mins
2017-08-05 15:10:31,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4397,40.810902,-73.952915,W 125 ST/ST NICHOLAS AV,at stop,12.0,2017-08-05 15:10:51,15:07:57,0 days 17:21:40.000000000,1042,0 days 17:21:40.000000000,1042
2017-08-05 21:40:50,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4380,40.810936,-73.952996,W 125 ST/ST NICHOLAS AV,at stop,4.0,2017-08-05 21:41:21,21:39:15,0 days 06:30:30.000000000,391,0 days 06:30:30.000000000,391
2017-08-06 00:10:28,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4347,40.810945,-73.953017,W 125 ST/ST NICHOLAS AV,at stop,2.0,2017-08-06 00:10:58,24:16:34,0 days 02:29:37.000000000,150,0 days 02:29:37.000000000,150
2017-08-06 13:42:10,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4407,40.810893,-73.952894,W 125 ST/ST NICHOLAS AV,at stop,14.0,2017-08-06 13:42:32,13:41:57,0 days 13:31:34.000000000,812,0 days 13:31:34.000000000,812
2017-08-06 18:12:15,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4403,40.810938,-73.953001,W 125 ST/ST NICHOLAS AV,at stop,4.0,2017-08-06 18:12:31,18:11:57,0 days 04:29:59.000000000,270,0 days 04:29:59.000000000,270
2017-08-07 01:12:31,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4405,40.810859,-73.952814,W 125 ST/ST NICHOLAS AV,at stop,22.0,2017-08-07 01:13:01,24:46:01,0 days 07:00:30.000000000,421,0 days 07:00:30.000000000,421
2017-08-07 09:43:06,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4744,40.810858,-73.952812,W 125 ST/ST NICHOLAS AV,at stop,22.0,2017-08-07 09:43:42,09:36:39,0 days 08:30:41.000000000,511,0 days 08:30:41.000000000,511
2017-08-07 13:23:58,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4350,40.810941,-73.953008,W 125 ST/ST NICHOLAS AV,at stop,3.0,2017-08-07 13:24:18,13:23:20,0 days 03:40:36.000000000,221,0 days 03:40:36.000000000,221
2017-08-07 14:03:43,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4746,40.810896,-73.952901,W 125 ST/ST NICHOLAS AV,at stop,13.0,2017-08-07 14:03:57,14:02:20,0 days 00:39:39.000000000,40,0 days 00:39:39.000000000,40
2017-08-07 14:23:15,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8389,40.810876,-73.952855,W 125 ST/ST NICHOLAS AV,at stop,18.0,2017-08-07 14:23:41,14:28:11,0 days 00:19:44.000000000,20,0 days 00:19:44.000000000,20
