RecordedAtTime,DirectionRef,PublishedLineName,OriginName,OriginLat,OriginLong,DestinationName,DestinationLat,DestinationLong,VehicleRef,VehicleLocation.Latitude,VehicleLocation.Longitude,NextStopPointName,ArrivalProximityText,DistanceFromStop,ExpectedArrivalTime,ScheduledArrivalTime,scheduled_time,expected_time,time_diff,time_diff_mins
2017-08-17 11:31:01,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8398,40.810359000000005,-73.951612,W 125 ST/FRED DOUGLASS BL,at stop,1.0,2017-08-17 11:31:07,11:33:26,11:33:26,11:31:07,-1 days +23:57:41.000000000,-2
2017-08-17 13:21:23,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4336,40.810359000000005,-73.951614,W 125 ST/FRED DOUGLASS BL,at stop,1.0,2017-08-17 13:21:45,13:22:01,13:22:01,13:21:45,-1 days +23:59:44.000000000,0
2017-08-17 18:51:13,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_5653,40.810318,-73.951514,W 125 ST/FRED DOUGLASS BL,at stop,11.0,2017-08-17 18:51:37,18:50:26,18:50:26,18:51:37,0 days 00:01:11.000000000,2
2017-08-17 19:11:29,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8387,40.810342,-73.951573,W 125 ST/FRED DOUGLASS BL,at stop,5.0,2017-08-17 19:11:37,19:10:26,19:10:26,19:11:37,0 days 00:01:11.000000000,2
2017-08-17 20:01:48,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4383,40.810357,-73.95160899999999,W 125 ST/FRED DOUGLASS BL,at stop,2.0,2017-08-17 20:02:13,19:58:04,19:58:04,20:02:13,0 days 00:04:09.000000000,5
2017-08-18 14:43:36,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4367,40.81031,-73.951494,W 125 ST/FRED DOUGLASS BL,at stop,13.0,2017-08-18 14:43:43,14:43:49,14:43:49,14:43:43,-1 days +23:59:54.000000000,0
2017-08-18 15:43:26,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8363,40.810302,-73.951476,W 125 ST/FRED DOUGLASS BL,at stop,14.0,2017-08-18 15:43:42,15:33:49,15:33:49,15:43:42,0 days 00:09:53.000000000,10
2017-08-19 10:54:42,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4384,40.810282,-73.951428,W 125 ST/FRED DOUGLASS BL,at stop,19.0,2017-08-19 10:55:03,10:56:04,10:56:04,10:55:03,-1 days +23:58:59.000000000,-1
2017-08-19 17:55:00,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4403,40.810358,-73.951611,W 125 ST/FRED DOUGLASS BL,at stop,1.0,2017-08-19 17:55:05,17:55:39,17:55:39,17:55:05,-1 days +23:59:26.000000000,0
2017-08-19 18:35:06,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8364,40.810289000000004,-73.951444,W 125 ST/FRED DOUGLASS BL,at stop,17.0,2017-08-19 18:35:20,18:33:14,18:33:14,18:35:20,0 days 00:02:06.000000000,3
2017-08-20 11:26:19,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4392,40.810357,-73.951608,W 125 ST/FRED DOUGLASS BL,at stop,2.0,2017-08-20 11:26:36,11:24:16,11:24:16,11:26:36,0 days 00:02:20.000000000,3
